,0
Saturday.19:00,251537.0
Saturday.20:00,246969.0
Saturday.1:00,245453.0
Saturday.2:00,236195.0
Sunday.1:00,235295.0
Saturday.21:00,229788.0
Sunday.19:00,229561.0
Saturday.18:00,225651.0
Sunday.0:00,225209.0
Sunday.2:00,224716.0
Saturday.0:00,224425.0
Sunday.20:00,222193.0
Saturday.22:00,219524.0
Saturday.23:00,217466.0
Sunday.18:00,205088.0
Sunday.21:00,197524.0
Friday.19:00,194731.0
Friday.23:00,190530.0
Friday.1:00,190371.0
Saturday.3:00,189242.0
Saturday.17:00,188682.0
Sunday.3:00,184979.0
Thursday.1:00,181712.0
Sunday.22:00,178938.0
Friday.0:00,178666.0
Wednesday.1:00,174696.0
Thursday.0:00,171669.0
Sunday.17:00,171205.0
Friday.2:00,169989.0
Sunday.23:00,168674.0
Friday.20:00,168226.0
Friday.22:00,166393.0
Wednesday.0:00,166254.0
Monday.0:00,163336.0
Tuesday.1:00,162632.0
Thursday.19:00,162155.0
Monday.1:00,161168.0
Thursday.2:00,160906.0
Monday.19:00,160678.0
Wednesday.19:00,157893.0
Friday.18:00,156740.0
Tuesday.0:00,156195.0
Tuesday.19:00,155190.0
Friday.21:00,154843.0
Wednesday.2:00,153923.0
Thursday.23:00,151170.0
Saturday.16:00,149504.0
Wednesday.23:00,146355.0
Tuesday.23:00,143508.0
Tuesday.2:00,141732.0
Monday.2:00,140252.0
Sunday.4:00,140092.0
Monday.20:00,140018.0
Saturday.4:00,138952.0
Monday.23:00,138087.0
Thursday.20:00,135046.0
Thursday.22:00,133354.0
Wednesday.20:00,131959.0
Thursday.18:00,131839.0
Monday.18:00,131296.0
Wednesday.22:00,129874.0
Sunday.16:00,129330.0
Monday.22:00,129185.0
Tuesday.20:00,128641.0
Wednesday.18:00,128179.0
Friday.3:00,127783.0
Monday.21:00,127014.0
Tuesday.18:00,126253.0
Tuesday.22:00,126244.0
Thursday.21:00,124231.0
Wednesday.21:00,120810.0
Friday.17:00,119295.0
Tuesday.21:00,117723.0
Thursday.3:00,117639.0
Wednesday.3:00,111840.0
Friday.16:00,106798.0
Monday.3:00,106422.0
Saturday.15:00,103651.0
Tuesday.3:00,103584.0
Sunday.5:00,101133.0
Monday.17:00,100422.0
Thursday.17:00,99254.0
Wednesday.17:00,97497.0
Saturday.5:00,97062.0
Tuesday.17:00,95791.0
Thursday.16:00,91269.0
Wednesday.16:00,89414.0
Monday.16:00,88219.0
Tuesday.16:00,86936.0
Friday.4:00,86825.0
Sunday.15:00,86110.0
Friday.15:00,79148.0
Thursday.4:00,76283.0
Monday.4:00,73497.0
Wednesday.4:00,72821.0
Sunday.6:00,72404.0
Thursday.15:00,70076.0
Wednesday.15:00,69115.0
Tuesday.4:00,68950.0
Saturday.6:00,68465.0
Tuesday.15:00,67864.0
Monday.15:00,66663.0
Saturday.14:00,63294.0
Friday.14:00,56684.0
Friday.5:00,55672.0
Sunday.7:00,52890.0
Wednesday.14:00,51139.0
Thursday.14:00,51012.0
Tuesday.14:00,50415.0
Sunday.14:00,49652.0
Saturday.7:00,49633.0
Monday.5:00,48253.0
Monday.14:00,48243.0
Wednesday.5:00,44109.0
Tuesday.5:00,42977.0
Thursday.5:00,42130.0
Friday.13:00,37355.0
Saturday.13:00,36613.0
Friday.6:00,36546.0
Sunday.8:00,35079.0
Tuesday.13:00,35002.0
Wednesday.13:00,34519.0
Thursday.13:00,34514.0
Monday.13:00,33640.0
Saturday.8:00,33591.0
Monday.6:00,31624.0
Sunday.13:00,28085.0
Wednesday.6:00,27175.0
Thursday.6:00,27108.0
Tuesday.6:00,26646.0
Friday.7:00,26551.0
Friday.12:00,26149.0
Tuesday.12:00,24994.0
Wednesday.12:00,24828.0
Thursday.12:00,24631.0
Monday.12:00,23655.0
Monday.7:00,23022.0
Saturday.9:00,21969.0
Sunday.9:00,21524.0
Saturday.12:00,21330.0
Thursday.7:00,20672.0
Wednesday.7:00,19195.0
Tuesday.7:00,18946.0
Friday.8:00,18004.0
Sunday.12:00,16856.0
Saturday.10:00,16753.0
Sunday.10:00,15903.0
Saturday.11:00,15833.0
Friday.11:00,15617.0
Monday.8:00,15327.0
Thursday.11:00,14791.0
Monday.11:00,14580.0
Wednesday.11:00,14568.0
Tuesday.11:00,14397.0
Thursday.8:00,13830.0
Sunday.11:00,13724.0
Friday.9:00,12683.0
Wednesday.8:00,12484.0
Tuesday.8:00,12452.0
Friday.10:00,11837.0
Monday.9:00,11000.0
Monday.10:00,10432.0
Thursday.9:00,10058.0
Thursday.10:00,9776.0
Tuesday.10:00,9448.0
Wednesday.10:00,9200.0
Tuesday.9:00,8837.0
Wednesday.9:00,8814.0
