postal_code,stars,review_count
02224,2.5,7
05440,4.25,8
05452,4.0,49
06618,3.5,8
06632,4.222222222222222,53
07141,4.5,18
08054,4.0,8
09544,3.0,6
10173,4.5,3
12200,4.5,3
12919,2.888888888888889,57
12923,4.5,9
12958,5.0,5
12979,3.25,56
15003,3.9583333333333335,391
15009,2.0,4
15012,5.0,3
15015,4.0,8
15017,3.4171597633136095,2547
15018,3.75,10
15024,3.2954545454545454,125
15025,3.42,203
15026,4.0625,74
15030,4.333333333333333,16
15031,3.75,10
15034,3.4545454545454546,70
15035,3.7,35
15037,3.8958333333333335,219
15038,4.5,23
15044,3.69811320754717,1088
15045,4.083333333333333,27
15046,4.0,6
15049,4.25,10
15051,4.0,7
15055,5.0,12
15056,3.6,184
15057,3.1666666666666665,39
15063,3.4722222222222223,152
15064,4.0,6
15067,3.6666666666666665,26
15068,3.479381443298969,863
15071,3.6097560975609757,320
15075,5.0,13
15076,4.333333333333333,38
15082,3.0,3
15085,3.5,137
15086,4.5,3
15088,4.0,6
15090,3.6015625,3468
15091,3.1666666666666665,27
15101,3.6363636363636362,1184
15102,3.6927710843373496,1814
15104,3.75,271
15105,3.5,20
15106,3.6008771929824563,1989
15108,3.4976635514018692,3623
15110,3.6666666666666665,32
15112,3.9166666666666665,38
15116,3.6136363636363638,512
15120,3.4580838323353293,4173
15122,3.360869565217391,1331
15123,3.15,102
15126,3.611111111111111,158
15127,4.0,6
15129,3.5526315789473686,235
15131,3.5526315789473686,326
15132,3.5256410256410255,277
15133,4.166666666666667,18
15134,2.0,4
15135,3.857142857142857,35
15136,3.722689075630252,1362
15137,3.39,353
15139,3.702127659574468,814
15140,3.625,16
15142,3.875,76
15143,3.839622641509434,1298
15144,4.035714285714286,233
15145,3.2222222222222223,172
15146,3.2991803278688523,5261
15147,3.979591836734694,486
15148,3.75,68
15201,4.007326007326007,11476
15202,3.682170542635659,1578
15203,3.6878109452736316,14472
15204,4.0,53
15205,3.3753943217665614,6091
15206,3.749185667752443,12995
15207,4.038461538461538,892
15208,4.111111111111111,611
15209,3.8947368421052633,1078
15210,3.4324324324324325,899
15211,3.6615384615384614,3286
15212,3.771889400921659,6888
15213,3.5721649484536084,13310
15214,3.8636363636363638,57
15215,3.8797468354430378,1121
15216,3.6343283582089554,4315
15217,3.6962025316455698,10790
15218,3.5689655172413794,1992
15219,3.58203125,6700
15220,3.444055944055944,1997
15221,3.635869565217391,1586
15222,3.7011747430249633,35122
15223,3.5531914893617023,450
15224,3.87,6562
15225,2.9375,130
15226,3.705,1847
15227,3.721052631578947,879
15228,3.720472440944882,3456
15229,3.6076923076923078,777
15231,2.9782608695652173,1119
15232,3.7580645161290325,8790
15233,3.793103448275862,1840
15234,3.452755905511811,1597
15235,3.464968152866242,1648
15236,3.5489690721649483,2485
15237,3.4387568555758685,7816
15238,3.4465408805031448,2456
15239,3.5,540
15240,4.0,59
15241,3.513986013986014,1695
15243,3.8055555555555554,243
15250,1.0,13
15260,4.75,65
15261,3.75,23
15270,4.5,9
15272,4.5,490
15275,3.0757575757575757,1986
15276,1.75,8
15277,3.25,124
15282,4.0,9
15289,3.5434782608695654,832
15290,1.5,4
15301,4.5,70
15317,3.5123456790123457,3050
15321,4.111111111111111,220
15332,3.6538461538461537,112
15339,3.5,14
15342,3.75,76
15363,5.0,4
15367,4.0,56
15437,4.5,5
15632,4.25,101
15636,3.5,92
15637,4.333333333333333,27
15642,3.5515151515151517,1774
15668,3.7777777777777777,1123
15678,5.0,10
15688,2.0,12
15949,3.375,31
16051,2.0,6
16901,5.0,3
16930,3.5,11
17744,2.875,17
18447,4.0,9
18922,5.0,6
19301,3.5,4
19355,3.607142857142857,763
19362,4.166666666666667,150
19401,2.0,20
19464,2.888888888888889,85
21211,3.0,13
22367,4.5,3
22827,3.5,3
23231,1.0,4
23554,4.5,3
27262,3.5,19
27278,4.5,126
27377,3.5,7
27536,4.0,3
27863,2.5,15
28012,3.5815602836879434,2392
28016,3.5,5
28025,3.5548245614035086,2476
28026,3.125,63
28027,3.4289719626168225,9901
28031,3.813679245283019,6720
28032,4.041666666666667,354
28034,3.3518518518518516,180
28036,3.7790697674418605,2593
28037,2.75,8
28052,3.3154761904761907,1131
28053,4.0,11
28054,3.2545454545454544,2531
28056,3.2761194029850746,1827
28070,3.75,56
28074,4.0,12
28075,3.6651785714285716,1541
28078,3.6839788732394365,11779
28079,3.534412955465587,2905
28081,3.548780487804878,335
28083,3.3603603603603602,976
28098,3.7,91
28101,3.625,32
28104,3.5526315789473686,2706
28105,3.642602495543672,9959
28106,2.9166666666666665,31
28107,4.352941176470588,119
28110,4.083333333333333,52
28115,3.0,4
28120,3.391304347826087,498
28123,1.0,3
28127,3.5,37
28130,3.5,3
